method,seed,stopped_round,stopped_early,best_round,best_loss,final_loss,final_accuracy,final_worst_client_accuracy,total_comm_until_stop,comm_mb,accuracy_per_mb,worst_accuracy_per_mb,loss_per_mb,reached_threshold
centralized,31,58,True,28,0.04882698211974154,0.06668893314248028,0.9820898413658142,0.9189189076423645,0,0.0,0.0,0.0,0.0,True
centralized,37,54,True,31,0.05047805863432586,0.06054522883399235,0.98469451268514,0.9350649118423462,0,0.0,0.0,0.0,0.0,True
centralized,41,57,True,27,0.051419941172935066,0.06172977606426381,0.9841931124528249,0.9417475461959839,0,0.0,0.0,0.0,0.0,True
centralized,43,57,True,27,0.04877793498453684,0.056892280998969605,0.9849681695302327,0.9459459185600281,0,0.0,0.0,0.0,0.0,True
centralized,47,60,True,30,0.049816669523715974,0.05939685492194258,0.9850304285685222,0.9514563083648682,0,0.0,0.0,0.0,0.0,True
local_only,7,50,False,,,0.04100626725703478,0.9878011961778005,0.9444444179534912,0,0.0,0.0,0.0,0.0,True
grid_best_validated,7,186,True,186,0.09616192101190488,0.09616192101190488,0.9703339656194051,0.8395061492919922,1199060160,1199.06016,0.0008092454390440302,0.0007001368048889158,8.019774505051096e-05,True
grid_best_validated,11,269,True,239,0.07875311810833713,0.07914819206732014,0.9749895552794139,0.9189189076423645,1734124640,1734.12464,0.0005622372998975517,0.0005299036104131272,4.56415820648971e-05,True
grid_best_validated,19,322,True,292,0.07535911669644217,0.07712404798561086,0.9804457048575084,0.9239130616188049,2075792320,2075.79232,0.00047232360164889154,0.0004450893534565177,3.715402896644827e-05,True
grid_best_validated,23,200,True,172,0.08717379986774176,0.0908826975307117,0.9709790865580241,0.8947368264198303,1289312000,1289.312,0.0007530986189208075,0.0006939645535136805,7.048929780434193e-05,True
grid_best_validated,29,180,True,150,0.09910830596151451,0.10672556096687913,0.9663043975830078,0.7654321193695068,1160380800,1160.3808,0.0008327476614426987,0.0006596387318451899,9.197460089556734e-05,True
grid_best_validated,31,299,True,293,0.0788226525260446,0.0989404796603291,0.9719080905119578,0.8684210777282715,1927521440,1927.52144,0.0005042268637551226,0.00045053770075225287,5.133041719127601e-05,True
grid_best_validated,37,238,True,216,0.07827112912200392,0.08381791294862827,0.9735478401184082,0.9078947305679321,1534281280,1534.28128,0.0006345302212892855,0.000591739430313542,5.46300825286927e-05,True
grid_best_validated,41,253,True,223,0.08203024241762856,0.08898515266676744,0.9715322136878968,0.8918918967247009,1630979680,1630.97968,0.000595674014582387,0.0005468442725936972,5.455932637172245e-05,True
grid_best_validated,43,170,True,163,0.0912473578704521,0.09457445106624315,0.970736289024353,0.8947368264198303,1095915200,1095.9152,0.000885776827462885,0.0008164288864866829,8.629723455450126e-05,True
grid_best_validated,47,306,True,276,0.07216068960260599,0.07988665377100308,0.975026418765386,0.9210526347160339,1972647360,1972.64736,0.0004942730457233806,0.00046691195466179724,4.049717926827179e-05,True
ga_best_validated,7,192,True,162,0.08249856885522604,0.09627484213560819,0.9741816600163777,0.8947368264198303,495095808,495.095808,0.0019676629134706344,0.0018071993581085428,0.00019445699313133387,True
ga_best_validated,11,225,True,195,0.08304463754175231,0.08683556102138633,0.9772605478763581,0.9166666865348816,580190400,580.1904,0.0016843790381163807,0.001579941147828164,0.00014966735234051844,True
ga_best_validated,19,66,True,36,0.11939489794895053,0.14023565098177643,0.9592032512029012,0.790123462677002,170189184,170.189184,0.0056360999486483295,0.004642618550171801,0.0008239986095813023,True
ga_best_validated,23,100,True,70,0.10718045936276516,0.12760554559839268,0.9621158758799235,0.8421052694320679,257862400,257.8624,0.003731121233184534,0.0032657156275287436,0.0004948590628117658,True
ga_best_validated,29,99,True,69,0.1017369570210576,0.11390794216422365,0.9662152469158173,0.8395061492919922,255283776,255.283776,0.0037848674210922725,0.003288521356296423,0.00044620125865038775,True
ga_best_validated,31,92,True,75,0.1236563260667026,0.13354094370733946,0.9596748570601146,0.8289473652839661,237233408,237.233408,0.004045277033916381,0.00349422693992562,0.0005629095195030013,True
ga_best_validated,37,64,True,34,0.14385546914612254,0.19464993389944235,0.9431920886039734,0.5925925970077515,165031936,165.031936,0.005715209501050593,0.003590775284898503,0.0011794682812146272,True
ga_best_validated,41,207,True,177,0.07535673774546012,0.08497785858150261,0.9742185572783152,0.8947368264198303,533775168,533.775168,0.001825147769478694,0.001676242882883286,0.00015920159587023465,True
ga_best_validated,43,151,True,126,0.09705785906407982,0.10248467853525653,0.9675341626008351,0.8815789222717285,389372224,389.372224,0.00248485665634135,0.0022641032614379,0.00026320490322200414,True
ga_best_validated,47,151,True,121,0.08581171095138415,0.09745615660795011,0.9701490461826324,0.8918918967247009,389372224,389.372224,0.002491572296083021,0.0022905894199702877,0.0002502904691217782,True
