method,seed,mu,stopped_round,stopped_early,best_round,best_loss,final_loss,final_accuracy,final_worst_client_accuracy,total_comm_until_stop,final_auroc,final_auprc,final_balanced_accuracy,final_sensitivity,final_specificity,final_worst_client_recall,final_worst_client_auprc,dense_cost,sparse_cost,beta
dirichlet_beta_0p1_fedprox,23,,18,True,3,0.41688033459442003,0.9338278076167972,0.6904835303624471,0.0,2943360,0.8885282978597444,0.44730877920739753,0.607389655899438,0.22058823529411764,0.9941910765047584,0.0,0.0,2943360.0,2943360.0,0.1
dirichlet_beta_0p1_cvar_0.9,23,,18,True,3,0.41458586496966227,1.0473807115617784,0.646978171808379,0.0,2943360,0.8734552682771293,0.4204280270174173,0.5774528758481516,0.15756302521008403,0.9973427264862192,0.0,0.0,2943360.0,2943360.0,0.1
dirichlet_beta_0p1_fedavg,29,,16,True,1,0.46182812470942736,1.0666659018024802,0.6592849958688021,0.25,2616320,0.8450921561171156,0.6709220321142697,0.671140402605508,0.36547733847637415,0.9768034667346418,0.0,0.0,2616320.0,2616320.0,0.1
dirichlet_beta_0p1_fedprox,29,,16,True,1,0.4585871994495392,1.063009568490088,0.654097406193614,0.25,2616320,0.8462495000800119,0.6725725105987014,0.6716363896030408,0.3659594985535198,0.9773132806525618,0.0,0.0,2616320.0,2616320.0,0.1
dirichlet_beta_0p1_cvar_0.9,29,,16,True,1,0.4591961922124028,1.0665461441967636,0.6539570782333612,0.25,2616320,0.8449404594372235,0.6708017055221097,0.671076675865768,0.36547733847637415,0.9766760132551618,0.0,0.0,2616320.0,2616320.0,0.1
dirichlet_beta_0p1_fedavg,31,,18,True,3,0.4136027056309912,1.1030866415757272,0.6742182614074813,0.0,2943360,0.8559101130227706,0.5336018285069843,0.6250598255218967,0.2605421686746988,0.9895774823690944,0.0,0.0,2943360.0,2943360.0,0.1
dirichlet_beta_0p1_fedprox,31,,18,True,3,0.41253508710198933,1.1033793558470077,0.675555037955443,0.0,2943360,0.8561210140443194,0.5421839026402865,0.6232362984986191,0.25552208835341367,0.9909505086438245,0.0,0.0,2943360.0,2943360.0,0.1
dirichlet_beta_0p1_cvar_0.9,31,,18,True,3,0.41221362931860817,1.0986063300062798,0.6748981003959974,0.0,2943360,0.8567548293404535,0.5346083621465391,0.6254668552509983,0.26104417670682734,0.9898895337951694,0.0,0.0,2943360.0,2943360.0,0.1
dirichlet_beta_0p1_fedavg,37,,17,True,2,0.39032634666987825,1.64739307382011,0.49967045549835476,0.0,2779840,0.8210134022355984,0.5785080467143761,0.5380479279245629,0.07644744238336144,0.9996484134657643,0.0,0.0,2779840.0,2779840.0,0.1
dirichlet_beta_0p1_fedprox,37,,17,True,2,0.3808567300438881,1.6034021322349352,0.4995505708668913,0.0,2779840,0.8273826472479829,0.5870979474540979,0.5445122337143324,0.0893760539629005,0.9996484134657643,0.0,0.0,2779840.0,2779840.0,0.1
dirichlet_beta_0p1_cvar_0.9,37,,17,True,2,0.3812092659728868,1.6315039762827968,0.49995263080511776,0.0,2779840,0.8213284763402667,0.5796407428450121,0.5388910982449676,0.07813378302417089,0.9996484134657643,0.0,0.0,2779840.0,2779840.0,0.1
dirichlet_beta_0p1_fedavg,41,,17,True,2,0.5194856630904334,1.9265898833234263,0.6858646113957677,0.0,2779840,0.7276059619081747,0.3151491866306873,0.5002961259754738,0.0009157509157509158,0.9996765010351967,0.0,0.0,2779840.0,2779840.0,0.1
dirichlet_beta_0p1_fedprox,41,,17,True,2,0.5212929930005755,1.722789503525876,0.6893573152566594,0.0,2779840,0.8329326034343503,0.47534723323720834,0.5068681318681318,0.013736263736263736,1.0,0.0,0.0,2779840.0,2779840.0,0.1
