run_type,seed,alpha,round,loss,accuracy,worst_client_accuracy,upload_bytes,download_bytes,total_comm_bytes,selected_clients,best_loss_so_far,best_round,rounds_since_improvement,stopped_early,auroc,auprc,balanced_accuracy,sensitivity,specificity,worst_client_recall,worst_client_auprc,mu,drift_mean_update_norm,drift_avg_update_norm,method,beta
dirichlet_beta_infinity_fedprox,37,,21,0.5091722935438157,0.8042448858420054,0.7655737996101379,81760,81760,163520,15 4 1 23 26 10 14 19 18 2,0.5049798140923182,18,3,False,0.895604375599687,0.5343891897462538,0.8094989070768936,0.8163069544364508,0.8026908597173363,0.7,0.4521162195697837,0.01,0.5235055893659591,0.1722428798675537,dirichlet_beta_infinity_fedprox,infinity
dirichlet_beta_infinity_fedprox,37,,22,0.5399984081586202,0.7979037582874298,0.757377028465271,81760,81760,163520,15 23 5 4 22 11 21 6 27 28,0.5049798140923182,18,4,False,0.8966435738652182,0.5327551677334182,0.8174115549256578,0.8426858513189448,0.7921372585323706,0.7317073170731707,0.45565153863379393,0.01,0.5374957531690597,0.1793750375509262,dirichlet_beta_infinity_fedprox,infinity
dirichlet_beta_infinity_fedprox,37,,23,0.5266888757546743,0.8000353515148163,0.757377028465271,81760,81760,163520,7 10 26 2 5 19 3 8 15 29,0.5049798140923182,18,5,False,0.8985627199036921,0.541198899033542,0.8192418847739804,0.8441247002398081,0.7943590693081528,0.7666666666666667,0.4536047214578667,0.01,0.5364327013492585,0.1666198968887329,dirichlet_beta_infinity_fedprox,infinity
dirichlet_beta_infinity_fedprox,37,,24,0.5019751558701198,0.8120651106039684,0.7786885499954224,81760,81760,163520,3 0 29 11 17 28 23 5 10 20,0.5019751558701198,24,0,False,0.8955703942678109,0.537050185782417,0.8155832675093031,0.8201438848920863,0.8110226501265198,0.7049180327868853,0.42631139923428535,0.01,0.5298992395401001,0.16837455332279205,dirichlet_beta_infinity_fedprox,infinity
dirichlet_beta_infinity_fedprox,37,,25,0.5137374520301818,0.8089485565821329,0.7557377219200134,81760,81760,163520,15 25 17 2 21 27 26 9 7 12,0.5019751558701198,24,1,False,0.8984985312990118,0.5445544115416239,0.8190480757404814,0.8321342925659473,0.8059618589150157,0.7536231884057971,0.45147679252223966,0.01,0.5394127488136291,0.19268405437469482,dirichlet_beta_infinity_fedprox,infinity
dirichlet_beta_infinity_fedprox,37,,26,0.5073052217562993,0.8044636468092601,0.7688524723052979,81760,81760,163520,7 18 21 28 1 13 15 8 5 16,0.5019751558701198,24,2,False,0.8980844652180496,0.5483025391030751,0.816099780793769,0.8311750599520383,0.8010245016354997,0.7377049180327869,0.44808347269071497,0.01,0.544112753868103,0.18455229699611664,dirichlet_beta_infinity_fedprox,infinity
dirichlet_beta_infinity_fedprox,37,,27,0.4960679401954015,0.8061580816904704,0.7639344334602356,81760,81760,163520,18 0 14 26 17 20 6 2 4 7,0.4960679401954015,27,0,False,0.8968993514686492,0.5499800209741449,0.8120416016751494,0.8196642685851319,0.8044189347651669,0.7213114754098361,0.45192691315845673,0.01,0.5406729578971863,0.17746494710445404,dirichlet_beta_infinity_fedprox,infinity
dirichlet_beta_infinity_fedprox,37,,28,0.49855784078439075,0.8085639834403991,0.7590163946151733,81760,81760,163520,15 14 28 11 7 5 3 4 18 0,0.4960679401954015,27,1,False,0.8973560570170044,0.549546660050353,0.8167425696547002,0.8273381294964028,0.8061470098129976,0.7213114754098361,0.4345541855321118,0.01,0.5293855339288711,0.16531173884868622,dirichlet_beta_infinity_fedprox,infinity
dirichlet_beta_infinity_fedprox,37,,29,0.48392968277136483,0.8128308494885762,0.757377028465271,81760,81760,163520,8 22 15 10 5 23 4 24 20 18,0.48392968277136483,29,0,False,0.895916616086875,0.5469197844114577,0.8139257895664583,0.815347721822542,0.8125038573103747,0.7377049180327869,0.43353352399723977,0.01,0.5429666578769684,0.16076728701591492,dirichlet_beta_infinity_fedprox,infinity
dirichlet_beta_infinity_fedprox,37,,30,0.4963060985008875,0.8126649359862009,0.7622950673103333,81760,81760,163520,15 24 1 2 0 16 23 4 27 28,0.48392968277136483,29,1,False,0.8953339161664559,0.5454495838712107,0.8129974154355464,0.8134292565947242,0.8125655742763686,0.7049180327868853,0.44153337862637176,0.01,0.5446526885032654,0.18516872823238373,dirichlet_beta_infinity_fedprox,infinity
