precision,recall,threshold
0.11750450856627592,1.0,0.001130752032622695
0.1175111311503128,1.0,0.0011312022106721997
0.1175177544808928,1.0,0.0011385546531528234
0.11752437855814216,1.0,0.0011399840004742146
0.11753100338218715,1.0,0.0011404147371649742
0.11753762895315406,1.0,0.0011411173036321998
0.11754425527116924,1.0,0.001141868531703949
0.11755088233635902,1.0,0.0011434201151132584
0.1175575101488498,1.0,0.001146771595813334
0.11756413870876797,1.0,0.0011485832510516047
0.11757076801623999,1.0,0.0011488762684166431
0.11757739807139232,1.0,0.0011497741797938943
0.11758402887435146,1.0,0.00115055195055902
0.11759066042524392,1.0,0.0011512937489897013
0.11759729272419628,1.0,0.0011569539783522487
0.1176039257713351,1.0,0.0011570426868274808
0.11761055956678701,1.0,0.0011571805225685239
0.11761719411067863,1.0,0.0011610061628744006
0.11762382940313663,1.0,0.0011626482009887695
0.11763046544428774,1.0,0.0011635931441560388
0.11763710223425863,1.0,0.0011655722046270967
0.1176437397731761,1.0,0.0011683473130688071
0.1176503780611669,1.0,0.001171257346868515
0.11765701709835788,1.0,0.0011721389601007104
0.11766365688487584,1.0,0.0011727031087502837
0.11767029742084768,1.0,0.0011761800851672888
0.11767693870640027,1.0,0.0011819708161056042
0.11768358074166055,1.0,0.0011837821220979095
0.11769022352675547,1.0,0.0011843557003885508
0.11769686706181202,1.0,0.001185284461826086
0.11770351134695721,1.0,0.001186797278933227
0.11771015638231808,1.0,0.001194177195429802
0.11771680216802168,1.0,0.0011971843196079135
0.11772344870419513,1.0,0.001197828445583582
0.11773009599096555,1.0,0.001200332073494792
0.1177367440284601,1.0,0.0012028384953737259
0.11774339281680596,1.0,0.001213848707266152
0.11775004235613035,1.0,0.0012146547669544816
0.11775669264656048,1.0,0.0012226939434185624
0.11776334368822367,1.0,0.0012228190898895264
0.11776999548124717,1.0,0.0012228807900100946
0.11777664802575835,1.0,0.0012240642681717873
0.11778330132188453,1.0,0.0012247121194377542
0.11778995536975312,1.0,0.0012310370802879333
0.11779661016949153,1.0,0.0012324408162385225
0.1178032657212272,1.0,0.0012345598079264164
0.11780992202508758,1.0,0.001234942115843296
0.1178165790812002,1.0,0.0012363637797534466
0.11782323688969258,1.0,0.0012397363316267729
0.11782989545069228,1.0,0.0012398433173075318
0.11783655476432689,1.0,0.0012418330879881978
0.11784321483072402,1.0,0.001244633342139423
0.1178498756500113,1.0,0.0012460402213037014
0.11785653722231643,1.0,0.0012486575869843364
0.1178631995477671,1.0,0.0012492190580815077
0.11786986262649105,1.0,0.0012537152506411076
0.11787652645861602,1.0,0.0012539948802441359
0.11788319104426981,1.0,0.0012552393600344658
0.11788985638358024,1.0,0.0012558462331071496
0.11789652247667515,1.0,0.001260384451597929
0.11790318932368242,1.0,0.0012657775077968836
