method,beta,seed,mu,k_clients,stopped_round,stopped_early,best_round,best_loss,final_loss,final_accuracy,final_worst_client_accuracy,total_comm_until_stop,final_auroc,final_auprc,final_balanced_accuracy,final_sensitivity,final_specificity,final_worst_client_recall,final_worst_client_auprc
fedprox_0p1,15.0,11,0.1,9,37,True,22,0.3170744876066844,0.31856927937931484,0.8324515223503113,0.817427396774292,448312720,0.914884637374344,0.6693178859812028,0.835342153975394,0.8383693045563549,0.8323150033944331,0.7981651376146789,0.5783929945960212
fedavg,15.0,13,0.0,9,49,True,34,0.36066150665283203,0.44235624538527596,0.8643447624312507,0.8578680157661438,593711440,0.8975908922926462,0.6433049519722303,0.8020236060734822,0.7203836930455636,0.883663519101401,0.6778846153846154,0.5085277511396257
fedprox_0p1,15.0,13,0.1,9,43,True,28,0.3038148515754276,0.38174999091360307,0.7955453329616122,0.7848324775695801,521012080,0.9139904073778563,0.6693875144887198,0.8297069065725017,0.8752997601918465,0.7841140529531568,0.8173076923076923,0.5254108053081374
fedavg,18.0,7,0.0,9,36,True,21,0.3635060687859853,0.4416109257274204,0.8638768262333341,0.8383838534355164,436196160,0.9021932907293868,0.6449000840548484,0.8077128447214457,0.7342925659472422,0.881133123495649,0.6825396825396826,0.5612865195771659
fedprox_0p1,18.0,7,0.1,9,44,True,29,0.32401840223206413,0.3516303466426002,0.8142809404267205,0.8024691343307495,533128640,0.9141406297291365,0.6699134257249122,0.8333105113761241,0.8589928057553957,0.8076282169968524,0.8444444444444444,0.583461383941126
fedavg,18.0,11,0.0,9,41,True,26,0.3442374567190806,0.5175146526760526,0.8296636541684469,0.8208401799201965,496778960,0.90600289995739,0.6543764836888855,0.8211388156647428,0.8095923261390887,0.8326853051903969,0.7579908675799086,0.5958128218874273
fedprox_0p1,18.0,11,0.1,9,36,True,21,0.29994503325886196,0.3769775496588813,0.8019733428955078,0.7911471128463745,436196160,0.9139859377078969,0.6695404402172996,0.8304511510214159,0.8666666666666667,0.7942356353761649,0.8309178743961353,0.5848441788707142
fedavg,18.0,13,0.0,9,25,True,10,0.37098761399586994,0.4417396088441213,0.836811814043257,0.8286209106445312,302914000,0.9069108645688523,0.6560887461677603,0.8248109751413829,0.8095923261390887,0.8400296241436771,0.7677725118483413,0.5086058975123953
fedprox_0p1,18.0,13,0.1,9,47,True,32,0.30829668045043945,0.3332771162192027,0.8252233664194742,0.8176572322845459,569478320,0.9145221945013885,0.6708127417312971,0.8334605857250879,0.8446043165467626,0.822316854903413,0.7867298578199052,0.5382743710756367
fedavg,20.0,7,0.0,9,36,True,21,0.370831827322642,0.5089120633072324,0.8380952742364671,0.8194871544837952,436196160,0.8980107452641849,0.6434046843042394,0.814151922305888,0.7832134292565948,0.8450904153551811,0.7588424437299035,0.5501853393510034
fedprox_0p1,20.0,7,0.1,9,47,True,32,0.30699342158105636,0.3594421015845405,0.8194355765978495,0.798974335193634,569478320,0.9156630703583772,0.6727090442714542,0.83693769294877,0.8599520383693046,0.8139233475282355,0.8327974276527331,0.5827105559695671
fedavg,20.0,11,0.0,9,29,True,14,0.3715305030345917,0.44505343834559125,0.842012902100881,0.8215384483337402,351380240,0.9040730385511992,0.6553774374200515,0.8160625286106977,0.781294964028777,0.8508300931926186,0.7416267942583732,0.5967944068381426
fedprox_0p1,20.0,11,0.1,9,38,True,23,0.3197116156419118,0.37199245889981586,0.8059965173403422,0.7945758700370789,460429280,0.9157968940529857,0.6711123402649483,0.8353822478029427,0.8733812949640288,0.7973832006418564,0.8454545454545455,0.5847261597330311
fedavg,20.0,13,0.0,9,43,True,28,0.34170564346843296,0.5222733153237237,0.8387218250168694,0.8301182389259338,521012080,0.8993045371146149,0.650057864749289,0.8189172268924353,0.7928057553956834,0.8450286983891871,0.7688442211055276,0.5097643198417849
fedprox_0p1,20.0,13,0.1,9,24,True,9,0.3260752194457584,0.3562102152241601,0.8098304337925382,0.8014705777168274,290797440,0.9138141366188665,0.6620274380981973,0.8288211127080561,0.8537170263788969,0.8039251990372154,0.8009478672985783,0.536630662688135
fedavg,30.0,7,0.0,9,55,True,40,0.35224639707141453,0.45791037877400714,0.8474234077665541,0.826441764831543,666410800,0.9028276582585071,0.6479920264671674,0.8160070721426931,0.7745803357314148,0.8574338085539714,0.7364864864864865,0.5742578668823922
fedprox_0p1,30.0,7,0.1,9,25,True,10,0.3292572498321533,0.36581802037027145,0.8080268833372328,0.7971737384796143,302914000,0.9149794476583148,0.6649586649688146,0.8322145246217394,0.8642685851318945,0.8001604641115843,0.8412162162162162,0.5886229641579176
fedavg,30.0,11,0.0,9,37,True,22,0.3572221166557736,0.4126937687397003,0.859016650252872,0.8445229530334473,448312720,0.8957204390163115,0.6409546343213035,0.808789250769353,0.7429256594724221,0.874652842066284,0.6995515695067265,0.6045690347576775
fedprox_0p1,30.0,11,0.1,9,57,True,42,0.31641573707262677,0.3439501060379876,0.8203074799643623,0.8027933239936829,690643920,0.9142616216229017,0.6765827493965658,0.8319202812162416,0.8465227817745803,0.8173177806579028,0.825,0.6223959836056502
fedavg,30.0,13,0.0,9,32,True,17,0.34402555889553493,0.3948929276731279,0.86435600121816,0.8583287000656128,387729920,0.9070319600642387,0.6579256812988615,0.8110868979321264,0.7419664268585132,0.8802073690057397,0.7209302325581395,0.5503467333358545
fedprox_0p1,30.0,13,0.1,9,50,True,35,0.3223141564263238,0.38263921936353046,0.7983695467313131,0.787493109703064,605828000,0.9139818232434974,0.6661959978652086,0.8341275285640771,0.8810551558752998,0.7871999012528544,0.8372093023255814,0.5415532708578411
fedavg,infinity,7,0.0,9,38,True,23,0.37314796447753906,0.46933242678642273,0.8421369194984436,0.8218504190444946,460429280,0.907183218431735,0.6599976845337814,0.8196005535878648,0.7904076738609113,0.8487934333148183,0.7123287671232876,0.6202722967704833
fedprox_0p1,infinity,7,0.1,9,57,True,42,0.30945144097010296,0.3659815225336287,0.8100393613179525,0.7918307185173035,690643920,0.9145674684100156,0.6783511145727165,0.8332469739816367,0.8633093525179856,0.8031845954452879,0.817351598173516,0.6305835829473612
fedavg,infinity,11,0.0,9,31,True,16,0.3752448823716905,0.4171054032113817,0.8555336793263754,0.8484252095222473,375613360,0.9108881900219503,0.6632717177598054,0.8198476434553154,0.773621103117506,0.8660741837931247,0.7375565610859729,0.6210221954037383
fedprox_0p1,infinity,11,0.1,9,70,True,55,0.30908934275309247,0.34371921088960433,0.8256233731905619,0.8129921555519104,848159200,0.9115911270243202,0.6678639088395791,0.8334747051460849,0.8436450839328538,0.8233043263593162,0.8099547511312217,0.6181466993261349
fedavg,infinity,13,0.0,9,49,True,34,0.380464278989368,0.4446469048659007,0.8558070725864835,0.8503937125205994,593711440,0.8996646711514329,0.6443565108754279,0.810390251028209,0.7515587529976019,0.8692217490588162,0.7052631578947368,0.579054578562452
fedprox_0p1,infinity,13,0.1,9,32,True,17,0.3434102535247803,0.3481180535422431,0.8161089221636454,0.8046259880065918,387729920,0.9159203871859002,0.6727593072125909,0.8352096179009394,0.8599520383693046,0.8104671974325742,0.8223140495867769,0.60581911465056
