client_id,test_auprc,test_recall,test_balanced_acc,test_samples,test_deaths,method,seed
0,0.5145688421329749,0.7073170731707317,0.8199040239499868,2893,123,fedavg,17
1,0.6787012739343141,0.7340823970037453,0.8118840004875318,2080,267,fedavg,17
2,0.6981453259475862,0.7775891341256367,0.8029582890887312,3985,589,fedavg,17
3,0.5907267166443907,0.6832971800433839,0.7649387933488638,3166,461,fedavg,17
4,0.24788488741997566,0.3,0.6408906882591093,504,10,fedavg,17
5,0.40802373581011353,0.6,0.784,255,5,fedavg,17
6,0.7355445232561483,0.7916666666666666,0.8278985507246377,440,72,fedavg,17
7,0.6512183799362399,0.7537537537537538,0.8109539559843819,2798,333,fedavg,17
8,0.6834917740589757,0.7822222222222223,0.8295766105961782,2167,225,fedavg,17
0,0.499640419278347,0.7804878048780488,0.8267059963018403,2893,123,fedavg,23
1,0.7008238729159724,0.7940074906367042,0.8255751738897806,2080,267,fedavg,23
2,0.7001890779912135,0.8438030560271647,0.8077966988027461,3985,589,fedavg,23
3,0.6191544528981153,0.7982646420824295,0.8061563506160762,3166,461,fedavg,23
4,0.3045885391143128,0.4,0.6888663967611336,504,10,fedavg,23
5,0.4806637806637807,0.8,0.884,255,5,fedavg,23
6,0.7604632581349634,0.8194444444444444,0.8404287439613527,440,72,fedavg,23
7,0.6558465409975525,0.7717717717717718,0.8086039386242226,2798,333,fedavg,23
8,0.6854905892777508,0.8,0.8261071060762102,2167,225,fedavg,23
