method,seed,stopped_round,stopped_early,best_round,best_loss,final_loss,final_accuracy,final_worst_client_accuracy,total_comm_until_stop,final_auroc,final_auprc,final_balanced_accuracy,final_sensitivity,final_specificity,final_worst_client_recall,final_worst_client_auprc,failure_type,description
cvar_0.75,23,36,True,25,0.3380471285846498,0.44792882601420086,0.8430418570836385,0.754580020904541,436196160,0.8892699800537278,0.6289182296734163,0.8056674379067381,0.7956834532374101,0.8156514225760662,0.4,0.2183541383533635,low_average_accuracy,Average accuracy remains below 0.90.
cvar_0.75,29,48,True,23,0.30088913275135887,0.3896453281243642,0.881863554318746,0.8127979636192322,581594880,0.8836757736932099,0.6323116328865928,0.7978532707993946,0.7227817745803358,0.8729247670184533,0.2,0.1838135390480992,low_average_accuracy,Average accuracy remains below 0.90.
cvar_0.75,31,52,True,27,0.29931539048751193,0.3663914203643799,0.8914643790986803,0.8205771446228027,630061120,0.8914084359248393,0.6319889424700922,0.7903692228590762,0.6882494004796164,0.8924890452385361,0.2,0.20262467065098644,low_average_accuracy,Average accuracy remains below 0.90.
cvar_0.75,41,37,True,12,0.3174854541818301,0.3728668822182549,0.8886801136864556,0.8080301284790039,448312720,0.8974110250773644,0.6487372740257822,0.8096841467762653,0.7429256594724221,0.8764426340801086,0.2,0.19902561513868933,low_average_accuracy,Average accuracy remains below 0.90.
cvar_0.75,43,47,True,22,0.3192415576842096,0.5207279821236929,0.8042750060558319,0.36432769894599915,569478320,0.8611829588356719,0.5805631261740938,0.7674400379714743,0.7889688249400479,0.7459112510029007,0.3,0.14515185890589427,low_worst_client_accuracy,Worst-client accuracy remains below 0.70.
cvar_0.75,43,47,True,22,0.3192415576842096,0.5207279821236929,0.8042750060558319,0.36432769894599915,569478320,0.8611829588356719,0.5805631261740938,0.7674400379714743,0.7889688249400479,0.7459112510029007,0.3,0.14515185890589427,low_average_accuracy,Average accuracy remains below 0.90.
cvar_0.75,47,50,True,25,0.2685629228750865,0.40270065930154586,0.8723925948143005,0.812045156955719,605828000,0.8868456725084661,0.6314460796160782,0.798991393813296,0.7314148681055156,0.8665679195210764,0.1,0.11859047249950036,low_average_accuracy,Average accuracy remains below 0.90.
cvar_0.9,7,47,True,22,0.3086705936325921,0.5567826926708221,0.7910421722465091,0.30279985070228577,569478320,0.8417146453176285,0.5346059733840548,0.7573487368224288,0.765947242206235,0.7487502314386225,0.5,0.10245136044511044,low_worst_client_accuracy,Worst-client accuracy remains below 0.70.
cvar_0.9,7,47,True,22,0.3086705936325921,0.5567826926708221,0.7910421722465091,0.30279985070228577,569478320,0.8417146453176285,0.5346059733840548,0.7573487368224288,0.765947242206235,0.7487502314386225,0.5,0.10245136044511044,low_average_accuracy,Average accuracy remains below 0.90.
cvar_0.9,19,39,True,14,0.28457754850387573,0.39546049965752494,0.867579804526435,0.8173149228096008,472545840,0.8908231755643439,0.6323207845945517,0.8037274383418649,0.7534772182254197,0.8539776584583102,0.3,0.1507673490169116,low_average_accuracy,Average accuracy remains below 0.90.
cvar_0.9,23,36,True,25,0.3380471285846498,0.44792882601420086,0.8430418570836385,0.754580020904541,436196160,0.8892699800537278,0.6289182296734163,0.8056674379067381,0.7956834532374101,0.8156514225760662,0.4,0.2183541383533635,low_average_accuracy,Average accuracy remains below 0.90.
cvar_0.9,29,48,True,23,0.30088913275135887,0.3896453281243642,0.881863554318746,0.8127979636192322,581594880,0.8836757736932099,0.6323116328865928,0.7978532707993946,0.7227817745803358,0.8729247670184533,0.2,0.1838135390480992,low_average_accuracy,Average accuracy remains below 0.90.
cvar_0.9,31,52,True,27,0.29931539048751193,0.3663914203643799,0.8914643790986803,0.8205771446228027,630061120,0.8914084359248393,0.6319889424700922,0.7903692228590762,0.6882494004796164,0.8924890452385361,0.2,0.20262467065098644,low_average_accuracy,Average accuracy remains below 0.90.
cvar_0.9,41,37,True,12,0.3174854541818301,0.3728668822182549,0.8886801136864556,0.8080301284790039,448312720,0.8974110250773644,0.6487372740257822,0.8096841467762653,0.7429256594724221,0.8764426340801086,0.2,0.19902561513868933,low_average_accuracy,Average accuracy remains below 0.90.
cvar_0.9,43,47,True,22,0.3192415576842096,0.5207279821236929,0.8042750060558319,0.36432769894599915,569478320,0.8611829588356719,0.5805631261740938,0.7674400379714743,0.7889688249400479,0.7459112510029007,0.3,0.14515185890589427,low_worst_client_accuracy,Worst-client accuracy remains below 0.70.
cvar_0.9,43,47,True,22,0.3192415576842096,0.5207279821236929,0.8042750060558319,0.36432769894599915,569478320,0.8611829588356719,0.5805631261740938,0.7674400379714743,0.7889688249400479,0.7459112510029007,0.3,0.14515185890589427,low_average_accuracy,Average accuracy remains below 0.90.
cvar_0.9,47,50,True,25,0.2685629228750865,0.40270065930154586,0.8723925948143005,0.812045156955719,605828000,0.8868456725084661,0.6314460796160782,0.798991393813296,0.7314148681055156,0.8665679195210764,0.1,0.11859047249950036,low_average_accuracy,Average accuracy remains below 0.90.
cvar_0.95,7,47,True,22,0.3086705936325921,0.5567826926708221,0.7910421722465091,0.30279985070228577,569478320,0.8417146453176285,0.5346059733840548,0.7573487368224288,0.765947242206235,0.7487502314386225,0.5,0.10245136044511044,low_worst_client_accuracy,Worst-client accuracy remains below 0.70.
