lr,local_epochs,clients_per_round,seed,total_comm_bytes,stopped_round,stopped_early,best_round,best_loss,final_loss,final_accuracy,final_worst_client_accuracy,total_comm_until_stop,final_auroc,final_auprc,final_balanced_accuracy,final_sensitivity,final_specificity,final_worst_client_recall,final_worst_client_auprc
0.005,2,9,13,828772704,38,True,23,0.30407227244642043,0.35039861003557843,0.9027151266733805,0.8335438966751099,828772704,0.8637106755994945,0.589849329062535,0.7653192831774203,0.6143884892086331,0.9162500771462075,0.1,0.17156840754224476
0.005,5,3,7,283527504,39,True,24,0.3444298886590534,0.5235936443010966,0.8643527030944824,0.5941928625106812,283527504,0.817062121456325,0.5118319664338298,0.719244593216373,0.5726618705035971,0.865827315929149,0.2,0.19892962050720672
0.005,5,3,11,298067376,41,True,26,0.3137216005060408,0.42423612872759503,0.9082436892721388,0.8634880781173706,298067376,0.821960864931458,0.5224179810890477,0.7336216714464014,0.5309352517985612,0.9363080910942418,0.1,0.11481142314475648
0.005,5,3,13,116318976,16,True,1,0.3081403200825055,0.4783833747108777,0.9077710178163316,0.8518635630607605,116318976,0.8490598078841131,0.5601893662641709,0.748799161004468,0.5669064748201439,0.9306918471887922,0.0,0.15206803269252905
0.005,5,5,7,290797440,24,True,9,0.32897597054640454,0.4681510569320785,0.893017139699724,0.8441064357757568,290797440,0.8479702148298025,0.5484222168882359,0.7550849673899096,0.6052757793764988,0.9048941554033204,0.1,0.15050344698940096
0.005,5,5,11,230214640,19,True,4,0.3289051089021895,0.41013452659050625,0.9019358025656806,0.847441554069519,230214640,0.8508348440669794,0.5616568670721293,0.7582335538715852,0.5947242206235012,0.9217428871196692,0.4,0.3136363636363637
0.005,5,5,13,193864960,16,True,1,0.30714186529318493,0.3917817523082097,0.8837063312530518,0.7027307152748108,193864960,0.831026036419522,0.5397097980866545,0.7266084928761305,0.5587529976019184,0.8944639881503426,0.1,0.12748849425635075
0.005,5,7,7,271410944,16,True,1,0.359624778230985,0.3745745312836435,0.9095165861977471,0.855022132396698,271410944,0.8444972664712149,0.5586478832754046,0.7417108120576303,0.5453237410071943,0.9380978831080664,0.0,0.19544733044733043
0.005,5,7,11,525858704,31,True,16,0.31799419472614926,0.45040856964058346,0.9069697591993544,0.8584965467453003,525858704,0.83359390621182,0.54736794025874,0.7467996201076539,0.5601918465227818,0.9334073936925261,0.0,0.08235294117647059
0.005,5,7,13,627637808,37,True,22,0.30414677411317825,0.3608982058035003,0.9133753644095527,0.8603916764259338,627637808,0.8177931196979096,0.5324477325321136,0.7220140865644828,0.4935251798561151,0.9505029932728507,0.0,0.15228758169934642
