method,seed,stopped_round,stopped_early,best_round,best_loss,final_loss,final_accuracy,final_worst_client_accuracy,total_comm_until_stop,delta_accuracy,delta_worst_client_accuracy,delta_comm
cvar_0.95,43,334,True,310,0.06911708568610872,0.06922159025950046,0.9737870275974274,0.9014084339141846,2153151040,0.0008112708727519014,0.006671607494354248,644656000.0
cvar_0.95,47,131,True,126,0.10123290320237478,0.10464005732598404,0.9628090103467305,0.8024691343307495,844499360,-0.00957748691240956,-0.1029362678527832,-631762880.0
centralized,7,62,True,32,0.05331541542351867,0.06254993845310916,0.986645923058192,0.948051929473877,0,0.01750640670458481,0.059163033962249756,-1192613600.0
centralized,11,60,True,30,0.0479722786132091,0.05643110109716266,0.9861108958721161,0.9514563083648682,0,0.016839925448099757,0.06987738609313965,-1476262240.0
centralized,19,50,True,41,0.05085467538544132,0.055695862564607526,0.9860574026902517,0.9347826242446899,0,0.013696813583374046,0.026887893676757812,-1792143680.0
centralized,23,55,True,25,0.05231141431334739,0.06632979481122069,0.9867627779642741,0.9417475461959839,0,0.01657087604204821,0.06016862392425537,-1289312000.0
centralized,29,51,True,26,0.05399596725086061,0.07486208091577282,0.9804786602656047,0.9375,0,0.010915211836497019,0.032094597816467285,-1508495040.0
centralized,31,58,True,28,0.04882698211974154,0.06668893314248028,0.9820898413658142,0.9189189076423645,0,0.013344335556030318,0.030030012130737305,-1263525760.0
centralized,37,54,True,31,0.05047805863432586,0.06054522883399235,0.98469451268514,0.9350649118423462,0,0.025387626886367753,0.08321303129196167,-1456922560.0
centralized,41,57,True,27,0.051419941172935066,0.06172977606426381,0.9841931124528249,0.9417475461959839,0,0.011051934957504339,0.03549754619598389,-1630979680.0
centralized,43,57,True,27,0.04877793498453684,0.056892280998969605,0.9849681695302327,0.9459459185600281,0,0.011992412805557184,0.051209092140197754,-1508495040.0
centralized,47,60,True,30,0.049816669523715974,0.05939685492194258,0.9850304285685222,0.9514563083648682,0,0.012643931309382128,0.04605090618133545,-1476262240.0
local_only,7,50,False,,,0.04100626725703478,0.9878011961778005,0.9444444179534912,0,0.01866167982419331,0.055555522441864014,-1192613600.0
grid_best_validated,7,186,True,186,0.09616192101190488,0.09616192101190488,0.9703339656194051,0.8395061492919922,1199060160,0.0011944492657979255,-0.04938274621963501,6446560.0
grid_best_validated,11,269,True,239,0.07875311810833713,0.07914819206732014,0.9749895552794139,0.9189189076423645,1734124640,0.005718584855397557,0.037339985370635986,257862400.0
grid_best_validated,19,322,True,292,0.07535911669644217,0.07712404798561086,0.9804457048575084,0.9239130616188049,2075792320,0.008085115750630756,0.016018331050872803,283648640.0
grid_best_validated,23,200,True,172,0.08717379986774176,0.0908826975307117,0.9709790865580241,0.8947368264198303,1289312000,0.0007871846357981882,0.013157904148101807,0.0
grid_best_validated,29,180,True,150,0.09910830596151451,0.10672556096687913,0.9663043975830078,0.7654321193695068,1160380800,-0.003259050846099898,-0.13997328281402588,-348114240.0
grid_best_validated,31,299,True,293,0.0788226525260446,0.0989404796603291,0.9719080905119578,0.8684210777282715,1927521440,0.0031625847021738984,-0.020467817783355713,663995680.0
grid_best_validated,37,238,True,216,0.07827112912200392,0.08381791294862827,0.9735478401184082,0.9078947305679321,1534281280,0.014240954319636012,0.05604285001754761,77358720.0
grid_best_validated,41,253,True,223,0.08203024241762856,0.08898515266676744,0.9715322136878968,0.8918918967247009,1630979680,-0.0016089638074238133,-0.014358103275299072,0.0
grid_best_validated,43,170,True,163,0.0912473578704521,0.09457445106624315,0.970736289024353,0.8947368264198303,1095915200,-0.0022394677003224617,0.0,-412579840.0
grid_best_validated,47,306,True,276,0.07216068960260599,0.07988665377100308,0.975026418765386,0.9210526347160339,1972647360,0.0026399215062459236,0.01564723253250122,496385120.0
ga_best_validated,7,192,True,162,0.08249856885522604,0.09627484213560819,0.9741816600163777,0.8947368264198303,495095808,0.00504214366277056,0.005847930908203125,-697517792.0
ga_best_validated,11,225,True,195,0.08304463754175231,0.08683556102138633,0.9772605478763581,0.9166666865348816,580190400,0.007989577452341745,0.035087764263153076,-896071840.0
ga_best_validated,19,66,True,36,0.11939489794895053,0.14023565098177643,0.9592032512029012,0.790123462677002,170189184,-0.01315733790397644,-0.11777126789093018,-1621954496.0
ga_best_validated,23,100,True,70,0.10718045936276516,0.12760554559839268,0.9621158758799235,0.8421052694320679,257862400,-0.008076026042302398,-0.039473652839660645,-1031449600.0
